ID,target,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20
TEST_00000,4,2.5474597e-05,2.2083877e-06,3.8212582e-07,8.28139e-05,0.9941419,0.00049083476,2.3959183e-07,0.00011544387,9.029775e-08,2.1780272e-05,9.55284e-06,0.0050129863,4.7529043e-06,4.1428842e-07,2.6648011e-05,2.9385503e-05,2.0703881e-05,2.1567384e-06,6.529568e-07,1.1595766e-05,5.460099e-08
TEST_00001,5,0.00042205298,5.4702887e-05,6.0801085e-05,0.00049171544,0.00080160575,0.90919745,3.1125037e-05,0.00013739134,0.0004495826,0.00029414392,0.019064518,0.00019109694,0.05989688,0.0010024344,0.00017305797,0.00040012234,0.0065260385,0.00025411553,0.0002177587,0.00030714294,2.621075e-05
TEST_00002,3,0.20141159,1.5510088e-05,2.2168702e-05,0.2081277,0.00017944677,0.00012134054,1.3620834e-05,1.2404295e-05,9.983462e-06,0.18273081,0.009593765,0.009490297,2.3873909e-05,1.3192364e-05,0.020940796,0.1745551,0.035376705,5.72304e-05,5.780296e-06,0.15622474,0.0010739838
TEST_00003,0,0.21028678,6.439988e-05,3.6883506e-05,0.17674568,0.00014129344,9.540249e-05,1.6316513e-05,7.821408e-06,6.67772e-05,0.19492084,0.018497186,0.011044368,1.230725e-05,2.853928e-05,0.030128963,0.18961646,0.053049345,9.493437e-05,3.0374356e-06,0.115024105,0.00011858882
TEST_00004,19,0.14119387,7.356387e-05,0.000113409114,0.17277183,0.0004557644,0.00034662744,9.249433e-05,8.384233e-05,0.0004671864,0.13290527,0.05810778,0.015984949,0.000562378,0.0004424929,0.027550856,0.1342341,0.09224881,0.00029719036,5.5896657e-05,0.22006644,0.0019452327
TEST_00005,1,4.549374e-07,0.84198225,0.0040668985,1.7771217e-07,3.0639443e-05,3.0168447e-05,0.0016006863,0.0001439212,0.14382587,3.5205707e-07,5.6850324e-05,9.66206e-08,0.00016238274,0.007971659,6.7597944e-07,3.5786582e-07,1.119835e-05,3.1086187e-05,7.6959856e-05,1.8966133e-06,5.506415e-06
TEST_00006,8,7.9134227e-10,1.8518056e-06,0.004498967,1.2930993e-09,8.86745e-07,3.0446255e-08,9.370947e-06,3.0008073e-07,0.99542594,7.699728e-10,9.0668206e-10,1.948523e-10,7.788637e-09,4.1229705e-05,1.8919508e-10,6.754326e-10,2.6125402e-10,1.9895462e-05,9.257203e-07,5.5310856e-10,6.0378227e-07
TEST_00007,12,3.2046424e-05,4.4777702e-05,6.4951484e-05,8.6186636e-05,2.1149557e-05,9.920126e-05,0.0007372992,0.0010707122,0.008106416,6.73935e-05,0.020809539,0.00032519197,0.9536484,0.0066648293,0.0004958612,4.8449958e-05,0.001923253,0.0009051799,0.0043667243,0.00011337224,0.0003690683
TEST_00008,4,0.0001231391,7.9088395e-06,4.3061547e-07,0.00031096744,0.9920931,0.00019108284,3.035728e-07,1.8172987e-05,1.2641075e-07,0.00016446188,1.2301665e-05,0.0066718473,2.5393992e-06,2.6870535e-07,9.26336e-05,0.00021144548,4.434671e-05,1.8986449e-06,2.8062396e-07,5.2798398e-05,2.0576863e-08
TEST_00009,5,0.0001649815,3.406598e-05,1.3616359e-05,0.0004466632,0.0019004816,0.99300075,2.2087479e-05,0.00011211197,3.38768e-05,0.00014093213,0.0012292117,5.0657934e-05,0.0013954828,6.173853e-05,4.1022406e-05,0.00016751175,0.00075378246,0.0001347166,7.789518e-05,0.00013170575,8.677129e-05
