ID,target,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20
TEST_00000,4,5.47756371402711e-05,9.975612372093848e-08,8.82106061629732e-12,8.97184526732011e-05,0.9922533807254073,0.00027021242206789076,4.1319224729851625e-09,1.6967821190069855e-11,8.25929177982515e-06,7.120183671442527e-05,0.00011962992206627948,0.0067913957370305,2.8732351941174627e-05,1.0033335589945368e-05,7.231156267772747e-05,6.362794396122445e-05,4.047333094523765e-05,4.3222837533039866e-08,3.3174936728029054e-06,7.407243820882566e-05,4.871038145040146e-05
TEST_00001,5,0.010759945928795374,2.910499744187782e-06,2.2757886153026176e-09,0.009447930658018428,9.425351962539543e-05,0.6637062770188803,1.056470056412056e-06,4.428324151112681e-09,0.0019572040049981427,0.00816675584348111,0.012966716175655188,0.1581135308835801,0.0727418760177833,0.00216171380199267,0.012861796348346622,0.011121158393959187,0.0122390467234883,1.2460143802813284e-05,0.0007460035101687243,0.01292167571727831,0.009977681636232746
TEST_00002,3,0.19357897642817,1.4385060712089213e-06,3.782008416635496e-10,0.3185609013191176,7.659049981767024e-06,0.00016916491916546856,1.7761033502784778e-07,7.445095297805979e-10,0.0002337225868702383,0.12606945126250482,0.009740596937136851,0.008194914060863595,0.0003832420502454554,0.0002756612405252215,0.05265462843068856,0.1805468825601294,0.06553600284260902,2.1959126274946306e-06,0.00012550846465916396,0.038136308216652315,0.0057825664789364715
TEST_00003,9,0.09894136381934879,2.2279336727542126e-06,1.3541505819261929e-09,0.1283371527034974,8.628364298871583e-05,0.00044375018595254554,6.359349637514192e-07,2.665721230464304e-09,0.0008795647830966544,0.16277427607447492,0.10495311633040208,0.024814019227911568,0.001870931701706521,0.0013580621306317495,0.08027492514816989,0.1314744722666493,0.09148752898310984,7.670081725400023e-06,0.0004493838768504512,0.15745123721106882,0.014393393943906995
TEST_00004,0,0.18512970764421977,3.6772970476520836e-06,9.668063738515275e-10,0.15228187441671673,5.607220486659542e-05,0.0002709732282981113,4.540307293117745e-07,1.90321247202676e-09,0.0005828873608710016,0.14682472732720064,0.06550049034950053,0.018139809772975878,0.000979693369468626,0.0007046812566342545,0.05145029737381365,0.12089259900602743,0.1313257221017571,5.6417978501287435e-06,0.0003208411252366963,0.0694989330908631,0.05603091437590382
TEST_00005,8,0.001750026172530326,0.310350578891104,5.667947968663152e-10,0.001830873839538159,0.00022184751560355375,0.0005473821358090282,2.6532161930219604e-07,3.25906506321176e-09,0.6231777760328592,0.0015075274261830373,0.0017088070428659449,0.0012595265141902784,0.008332261571207492,0.03725279039213002,0.002277212020856398,0.002521961360579603,0.0028591566502395274,9.531074748590609e-07,0.00013042636491672236,0.002098199346925659,0.0021724244675069937
TEST_00006,2,0.0026227340604215526,2.823652207421592e-06,0.5378165215074733,0.001912315574595349,0.00017737245631730344,0.001022408390243835,3.5552649429575674e-07,4.4307059780396235e-09,0.2138964036257082,0.001734553500663495,0.0019883780253999103,0.0015002940521481182,0.015369817462885068,0.1836253712228883,0.0025486346502670604,0.0027160165892522897,0.0021501017486962926,0.0021170999346953384,0.02217609532984007,0.003789694496410189,0.0028330037626867824
TEST_00007,12,0.03003586241076738,2.353090498305275e-05,6.18748964695461e-09,0.020021507367605076,0.00027460211872653537,0.04963124863711978,2.908100414218441e-06,1.2171755605419654e-08,0.09438270318084092,0.017786978011476648,0.05229042976287898,0.13207027126349258,0.4208497332483664,0.03242823155721886,0.020537655031132678,0.025607031797471782,0.05036241074147911,2.2518911615576467e-05,0.002055011145640863,0.03245239425378098,0.01916495319574356
TEST_00008,4,2.4561595060347674e-05,1.6127753473594492e-08,4.231570684517587e-12,3.713098679194885e-05,0.99704081481701,0.00013039568363581967,1.982133755557695e-09,8.139671390011915e-12,3.031304175640001e-06,2.8235374466001833e-05,2.3441266012024157e-05,0.002537868524809363,1.6276864836359602e-05,5.368666323867556e-06,6.952866479477e-06,4.718559134706523e-05,3.38419713074227e-05,1.9813355908406434e-08,1.3649903887703817e-06,4.3703055478740794e-05,1.9788506262748314e-05
TEST_00009,5,0.005724351752387038,1.312849861000855e-06,1.84725174874962e-09,0.007013201313161542,9.71636916333671e-05,0.7826036118560884,8.575340196740017e-07,3.594459290800754e-09,0.0019488019451765243,0.005905321306000701,0.007318006632634098,0.10303662675523519,0.03705801077434012,0.0015773923730079413,0.006000644859903845,0.0075974292083169056,0.01257733147493566,5.2760511060035004e-06,0.0005557051420932766,0.009800550318438956,0.011178398719948801
