ID,target,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20
TEST_00000,4,0.0006291842,1.0497544e-05,2.444248e-06,0.0012266061,0.9838437,0.0025560628,2.3244806e-06,9.816792e-05,4.210871e-07,0.000759659,0.00019012492,0.008647047,9.407933e-06,3.3009428e-06,0.00059962174,0.000610064,0.00042312982,1.2475559e-05,3.0273825e-06,0.0003722991,4.0045546e-07
TEST_00001,5,0.0007263471,6.583472e-05,5.8209058e-05,0.0008619259,0.0023209,0.95644146,3.85688e-05,0.00011131516,0.00025557305,0.00069039233,0.015556501,0.0005087391,0.015315668,0.0009107942,0.0002710832,0.0005991607,0.004230064,0.00040953938,0.00017667428,0.000416683,3.454845e-05
TEST_00002,3,0.18369076,3.3950404e-05,4.3153592e-05,0.19775525,0.0006938779,0.0002786395,3.6310194e-05,2.4137815e-05,2.7232125e-05,0.19098046,0.0196648,0.01356728,7.7405544e-05,2.872644e-05,0.026554791,0.16934116,0.06600614,9.312311e-05,1.2583752e-05,0.12679073,0.0042994767
TEST_00003,0,0.19864464,0.00012625451,7.3964926e-05,0.1666885,0.000742247,0.00024759892,3.7309663e-05,1.1568188e-05,0.00014247274,0.188559,0.028963111,0.01784169,3.7628168e-05,5.654245e-05,0.040766664,0.17646855,0.0691746,0.00018144435,6.0574166e-06,0.11094707,0.0002830562
TEST_00004,19,0.12923285,0.00014765724,0.000175342,0.15724355,0.0014083515,0.0007859759,0.0002045322,0.00018352503,0.0007750803,0.12776908,0.08857583,0.017946566,0.0011839572,0.0008566287,0.027916394,0.12326813,0.12208411,0.0004606294,0.00013458023,0.18858725,0.01105998
TEST_00005,1,2.484832e-06,0.67902225,0.008995997,2.216195e-06,8.5301894e-05,7.538715e-05,0.0037085165,0.0007725769,0.21091272,2.5887755e-06,0.00062239147,1.4233207e-06,0.0026559548,0.0919578,7.5157045e-06,2.5705065e-06,3.71021e-05,0.00037471732,0.0007036997,1.2921217e-05,4.3890566e-05
TEST_00006,8,5.0594274e-08,4.7275866e-05,0.019501658,1.4818221e-07,2.0672438e-05,3.841417e-06,0.0002781439,1.7809372e-05,0.9792918,4.307704e-08,7.781525e-08,9.106702e-09,1.9271372e-06,0.0002671679,1.1022251e-08,6.528292e-08,2.7873638e-08,0.00038461157,0.00017199166,1.61522e-07,1.24443295e-05
TEST_00007,12,0.00023474745,0.00016751834,0.00020425911,0.0003810539,4.754871e-05,0.00033145322,0.0009970034,0.0023496414,0.03321592,0.0004256187,0.035885107,0.002401497,0.8902279,0.01658936,0.0024487702,0.00037279216,0.0041994387,0.0023043808,0.0056729177,0.0006094059,0.0009336673
TEST_00008,4,0.0025647169,2.6895352e-05,2.3758623e-06,0.0042078397,0.97421956,0.0013978813,1.726974e-06,8.562279e-06,4.5549012e-07,0.0026291844,0.00017788765,0.009474581,6.741092e-06,1.1816703e-06,0.0012456493,0.002461461,0.0007379548,1.2131845e-05,1.1156012e-06,0.0008219556,1.3392912e-07
TEST_00009,5,0.00037185504,2.4419247e-05,1.2008522e-05,0.00068712933,0.0015112659,0.99268,2.467087e-05,4.5496236e-05,1.9458614e-05,0.00035681843,0.0014190468,0.00016025505,0.0005944121,2.967884e-05,0.00012380606,0.00032112648,0.0010054607,0.000235472,5.7336354e-05,0.00019987227,0.00012029485
